"Charge_Type";"Charge_Date";"Day_Type";"PEV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"KWh";"Spans_Zones";"Noise"
"L1";"5/1/2010";"Weekday";"H010.V014";2;"12:30";"12:40";"Shoulder 1";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H010.V014";2;"21:10";"21:20";"Shoulder 2";0,64;FALSE;0
"L1";"6/1/2010";"Weekday";"H010.V014";5;"7:00";"7:40";"Shoulder 1";1,6;FALSE;0
"L1";"6/1/2010";"Weekday";"H010.V014";1;"21:50";"21:50";"Shoulder 2";0,32;TRUE;0
"L1";"6/1/2010";"Weekday";"H010.V014";5;"22:00";"22:40";"Off-Peak";1,6;TRUE;0
"L1";"7/1/2010";"Weekday";"H010.V014";5;"14:20";"15:00";"Peak";1,6;FALSE;0
"L1";"7/1/2010";"Weekday";"H010.V014";1;"21:50";"21:50";"Shoulder 2";0,32;TRUE;0
"L1";"7/1/2010";"Weekday";"H010.V014";4;"22:00";"22:30";"Off-Peak";1,28;TRUE;0
"L1";"8/1/2010";"Weekday";"H010.V014";7;"7:00";"8:00";"Shoulder 1";2,24;FALSE;0
"L1";"4/1/2010";"Weekday";"H011.V015";6;"0:00";"0:50";"Off-Peak";1,92;FALSE;0
"L1";"4/1/2010";"Weekday";"H011.V015";1;"6:10";"6:10";"Off-Peak";0,32;FALSE;0
"L1";"4/1/2010";"Weekday";"H011.V015";1;"16:00";"16:00";"Peak";0,32;FALSE;0
"L1";"4/1/2010";"Weekday";"H011.V015";23;"23:40";"3:20";"Off-Peak";7,36;FALSE;0
"L1";"5/1/2010";"Weekday";"H011.V015";2;"19:40";"19:50";"Peak";0,64;TRUE;0
"L1";"5/1/2010";"Weekday";"H011.V015";7;"20:00";"21:00";"Shoulder 2";2,24;TRUE;0
"L1";"5/1/2010";"Weekday";"H011.V015";6;"22:50";"23:40";"Off-Peak";1,92;FALSE;0
"L1";"6/1/2010";"Weekday";"H011.V015";5;"13:10";"13:50";"Shoulder 1";1,6;TRUE;0
"L1";"6/1/2010";"Weekday";"H011.V015";6;"14:00";"14:50";"Peak";1,92;TRUE;0
"L1";"7/1/2010";"Weekday";"H011.V015";2;"17:20";"17:30";"Peak";0,64;FALSE;0
"L1";"7/1/2010";"Weekday";"H011.V015";8;"20:40";"21:50";"Shoulder 2";2,56;TRUE;0
"L1";"7/1/2010";"Weekday";"H011.V015";13;"22:00";"0:00";"Off-Peak";4,16;TRUE;0
"L1";"8/1/2010";"Weekday";"H011.V015";4;"7:10";"7:40";"Shoulder 1";1,28;FALSE;0
"L1";"8/1/2010";"Weekday";"H011.V015";1;"8:20";"8:20";"Shoulder 1";0,32;FALSE;0
"L1";"8/1/2010";"Weekday";"H011.V015";5;"20:00";"20:40";"Shoulder 2";1,6;FALSE;0
"L1";"4/1/2010";"Weekday";"H011.V016";3;"0:10";"0:30";"Off-Peak";0,96;FALSE;0
"L1";"4/1/2010";"Weekday";"H011.V016";5;"10:50";"11:30";"Shoulder 1";1,6;FALSE;0
"L1";"4/1/2010";"Weekday";"H011.V016";2;"16:20";"16:30";"Peak";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H011.V016";5;"14:50";"15:30";"Peak";1,6;FALSE;0
"L1";"6/1/2010";"Weekday";"H011.V016";6;"15:40";"16:30";"Peak";1,92;FALSE;0
"L1";"7/1/2010";"Weekday";"H011.V016";5;"8:00";"8:40";"Shoulder 1";1,6;FALSE;0
"L1";"7/1/2010";"Weekday";"H011.V016";4;"13:20";"13:50";"Shoulder 1";1,28;TRUE;0
"L1";"7/1/2010";"Weekday";"H011.V016";1;"14:00";"14:00";"Peak";0,32;TRUE;0
"L1";"7/1/2010";"Weekday";"H011.V016";7;"15:20";"16:20";"Peak";2,24;FALSE;0
"L1";"7/1/2010";"Weekday";"H011.V016";2;"19:00";"19:10";"Peak";0,64;FALSE;0
"L1";"8/1/2010";"Weekday";"H011.V016";6;"11:50";"12:40";"Shoulder 1";1,92;FALSE;0
"L1";"4/1/2010";"Weekday";"H012.V017";18;"11:00";"13:50";"Shoulder 1";5,76;TRUE;0
"L1";"4/1/2010";"Weekday";"H012.V017";10;"14:00";"15:30";"Peak";3,2;TRUE;0
"L1";"4/1/2010";"Weekday";"H012.V017";5;"16:50";"17:30";"Peak";1,6;FALSE;0
"L1";"4/1/2010";"Weekday";"H012.V017";4;"19:00";"19:30";"Peak";1,28;FALSE;0
"L1";"5/1/2010";"Weekday";"H012.V017";35;"0:40";"6:20";"Off-Peak";11,2;FALSE;0
"L1";"5/1/2010";"Weekday";"H012.V017";9;"15:30";"16:50";"Peak";2,88;FALSE;0
"L1";"5/1/2010";"Weekday";"H012.V017";9;"18:30";"19:50";"Peak";2,88;TRUE;0
"L1";"5/1/2010";"Weekday";"H012.V017";12;"20:00";"21:50";"Shoulder 2";3,84;TRUE;0
"L1";"5/1/2010";"Weekday";"H012.V017";14;"22:00";"0:10";"Off-Peak";4,48;TRUE;0
"L1";"6/1/2010";"Weekday";"H012.V017";2;"11:40";"11:50";"Shoulder 1";0,64;FALSE;0
"L1";"6/1/2010";"Weekday";"H012.V017";6;"13:00";"13:50";"Shoulder 1";1,92;TRUE;0
"L1";"6/1/2010";"Weekday";"H012.V017";3;"14:00";"14:20";"Peak";0,96;TRUE;0
"L1";"6/1/2010";"Weekday";"H012.V017";5;"18:10";"18:50";"Peak";1,6;FALSE;0
"L1";"6/1/2010";"Weekday";"H012.V017";35;"23:50";"5:30";"Off-Peak";11,2;FALSE;0
"L1";"8/1/2010";"Weekday";"H012.V017";1;"18:50";"18:50";"Peak";0,32;FALSE;0
"L1";"4/1/2010";"Weekday";"H013.V018";6;"18:30";"19:20";"Peak";1,92;FALSE;0
"L1";"4/1/2010";"Weekday";"H013.V018";2;"20:10";"20:20";"Shoulder 2";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H013.V018";1;"12:50";"12:50";"Shoulder 1";0,32;FALSE;0
"L1";"5/1/2010";"Weekday";"H013.V018";3;"14:20";"14:40";"Peak";0,96;FALSE;0
"L1";"5/1/2010";"Weekday";"H013.V018";5;"15:50";"16:30";"Peak";1,6;FALSE;0
"L1";"5/1/2010";"Weekday";"H013.V018";6;"20:40";"21:30";"Shoulder 2";1,92;FALSE;0
"L1";"6/1/2010";"Weekday";"H013.V018";5;"14:50";"15:30";"Peak";1,6;FALSE;0
"L1";"6/1/2010";"Weekday";"H013.V018";5;"17:00";"17:40";"Peak";1,6;FALSE;0
"L1";"7/1/2010";"Weekday";"H013.V018";7;"22:10";"23:10";"Off-Peak";2,24;FALSE;0
"L1";"8/1/2010";"Weekday";"H013.V018";1;"12:10";"12:10";"Shoulder 1";0,32;FALSE;0
"L1";"8/1/2010";"Weekday";"H013.V018";1;"14:40";"14:40";"Peak";0,32;FALSE;0
"L1";"8/1/2010";"Weekday";"H013.V018";3;"19:30";"19:50";"Peak";0,96;TRUE;0
"L1";"8/1/2010";"Weekday";"H013.V018";3;"20:00";"20:20";"Shoulder 2";0,96;TRUE;0
"L1";"4/1/2010";"Weekday";"H014.V019";3;"10:10";"10:30";"Shoulder 1";0,96;FALSE;0
"L1";"4/1/2010";"Weekday";"H014.V019";6;"19:00";"19:50";"Peak";1,92;TRUE;0
"L1";"4/1/2010";"Weekday";"H014.V019";1;"20:00";"20:00";"Shoulder 2";0,32;TRUE;0
"L1";"4/1/2010";"Weekday";"H014.V019";4;"21:20";"21:50";"Shoulder 2";1,28;TRUE;0
"L1";"4/1/2010";"Weekday";"H014.V019";2;"22:00";"22:10";"Off-Peak";0,64;TRUE;0
"L1";"5/1/2010";"Weekday";"H014.V019";2;"9:50";"10:00";"Shoulder 1";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H014.V019";2;"11:20";"11:30";"Shoulder 1";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H014.V019";2;"13:20";"13:30";"Shoulder 1";0,64;FALSE;0
"L1";"6/1/2010";"Weekday";"H014.V019";13;"11:10";"13:10";"Shoulder 1";4,16;FALSE;0
"L1";"6/1/2010";"Weekday";"H014.V019";11;"22:00";"23:40";"Off-Peak";3,52;FALSE;0
"L1";"7/1/2010";"Weekday";"H014.V019";5;"20:00";"20:40";"Shoulder 2";1,6;FALSE;0
"L1";"8/1/2010";"Weekday";"H014.V019";9;"12:00";"13:20";"Shoulder 1";2,88;FALSE;0
"L1";"8/1/2010";"Weekday";"H014.V019";20;"15:50";"19:00";"Peak";6,4;FALSE;0
"L1";"8/1/2010";"Weekday";"H014.V019";2;"19:40";"19:50";"Peak";0,64;TRUE;0
"L1";"8/1/2010";"Weekday";"H014.V019";12;"20:00";"21:50";"Shoulder 2";3,84;TRUE;0
