"Charge_Type";"Date";"HV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"DayType";"KWh";"Splits";"Noise"
"L1";"6/1/2010";"H010.V013";3;"1:40";"2:00";"Off Peak";"W";0,96;FALSE;0
"L1";"6/1/2010";"H010.V013";1;"4:00";"4:00";"Off Peak";"W";0,32;FALSE;0
"L1";"6/1/2010";"H010.V013";3;"4:40";"5:00";"Off Peak";"W";0,96;FALSE;0
"L1";"6/1/2010";"H010.V013";10;"20:00";"21:30";"Shoulder 2";"W";3,2;FALSE;0
"L1";"8/1/2010";"H010.V013";6;"20:00";"20:50";"Shoulder 2";"W";1,92;FALSE;0
"L1";"8/1/2010";"H010.V013";4;"21:00";"21:30";"Shoulder 2";"W";1,28;FALSE;0
"L1";"8/1/2010";"H010.V013";2;"23:30";"23:40";"Off Peak";"W";0,64;FALSE;0
"L1";"4/1/2010";"H010.V014";2;"10:10";"10:20";"Shoulder 1";"W";0,64;FALSE;0
"L1";"4/1/2010";"H010.V014";6;"17:30";"18:20";"Peak";"W";1,92;FALSE;0
"L1";"5/1/2010";"H010.V014";2;"12:30";"12:40";"Shoulder 1";"W";0,64;FALSE;0
"L1";"5/1/2010";"H010.V014";2;"13:30";"13:40";"Shoulder 1";"W";0,64;FALSE;0
"L1";"6/1/2010";"H010.V014";5;"0:40";"1:20";"Off Peak";"W";1,6;FALSE;0
"L1";"6/1/2010";"H010.V014";1;"21:50";"21:50";"Shoulder 2";"W";0,32;TRUE;0
"L1";"6/1/2010";"H010.V014";5;"22:00";"22:40";"Off Peak";"W";1,6;TRUE;0
"L1";"7/1/2010";"H010.V014";5;"9:20";"10:00";"Shoulder 1";"W";1,6;FALSE;0
"L1";"7/1/2010";"H010.V014";1;"21:50";"21:50";"Shoulder 2";"W";0,32;TRUE;0
"L1";"7/1/2010";"H010.V014";4;"22:00";"22:30";"Off Peak";"W";1,28;TRUE;0
"L1";"8/1/2010";"H010.V014";7;"7:00";"8:00";"Shoulder 1";"W";2,24;FALSE;0
"L1";"4/1/2010";"H011.V015";6;"0:00";"0:50";"Off Peak";"W";1,92;FALSE;0
"L1";"4/1/2010";"H011.V015";1;"6:10";"6:10";"Off Peak";"W";0,32;FALSE;0
"L1";"4/1/2010";"H011.V015";1;"16:00";"16:00";"Peak";"W";0,32;FALSE;0
"L1";"4/1/2010";"H011.V015";23;"23:40";"3:20";"Off Peak";"W";7,36;FALSE;0
"L1";"5/1/2010";"H011.V015";2;"19:40";"19:50";"Peak";"W";0,64;TRUE;0
"L1";"5/1/2010";"H011.V015";7;"20:00";"21:00";"Shoulder 2";"W";2,24;TRUE;0
"L1";"5/1/2010";"H011.V015";6;"22:50";"23:40";"Off Peak";"W";1,92;FALSE;0
"L1";"6/1/2010";"H011.V015";5;"13:10";"13:50";"Shoulder 1";"W";1,6;TRUE;0
"L1";"6/1/2010";"H011.V015";6;"14:00";"14:50";"Peak";"W";1,92;TRUE;0
"L1";"7/1/2010";"H011.V015";2;"17:20";"17:30";"Peak";"W";0,64;FALSE;0
"L1";"7/1/2010";"H011.V015";8;"20:40";"21:50";"Shoulder 2";"W";2,56;TRUE;0
"L1";"7/1/2010";"H011.V015";13;"22:00";"0:00";"Off Peak";"W";4,16;TRUE;0
"L1";"8/1/2010";"H011.V015";5;"0:30";"1:10";"Off Peak";"W";1,6;FALSE;0
"L1";"8/1/2010";"H011.V015";4;"7:10";"7:40";"Shoulder 1";"W";1,28;FALSE;0
"L1";"8/1/2010";"H011.V015";1;"21:10";"21:10";"Shoulder 2";"W";0,32;FALSE;0
"L1";"4/1/2010";"H011.V016";3;"4:00";"4:20";"Off Peak";"W";0,96;FALSE;0
"L1";"4/1/2010";"H011.V016";5;"10:50";"11:30";"Shoulder 1";"W";1,6;FALSE;0
"L1";"4/1/2010";"H011.V016";2;"16:20";"16:30";"Peak";"W";0,64;FALSE;0
"L1";"5/1/2010";"H011.V016";5;"14:50";"15:30";"Peak";"W";1,6;FALSE;0
"L1";"6/1/2010";"H011.V016";6;"23:50";"0:40";"Off Peak";"W";1,92;FALSE;0
"L1";"7/1/2010";"H011.V016";5;"8:00";"8:40";"Shoulder 1";"W";1,6;FALSE;0
"L1";"7/1/2010";"H011.V016";4;"13:20";"13:50";"Shoulder 1";"W";1,28;TRUE;0
"L1";"7/1/2010";"H011.V016";1;"14:00";"14:00";"Peak";"W";0,32;TRUE;0
"L1";"7/1/2010";"H011.V016";7;"15:20";"16:20";"Peak";"W";2,24;FALSE;0
"L1";"7/1/2010";"H011.V016";2;"19:00";"19:10";"Peak";"W";0,64;FALSE;0
"L1";"8/1/2010";"H011.V016";6;"11:50";"12:40";"Shoulder 1";"W";1,92;FALSE;0
"L1";"4/1/2010";"H012.V017";18;"11:00";"13:50";"Shoulder 1";"W";5,76;TRUE;0
"L1";"4/1/2010";"H012.V017";10;"14:00";"15:30";"Peak";"W";3,2;TRUE;0
"L1";"4/1/2010";"H012.V017";5;"16:50";"17:30";"Peak";"W";1,6;FALSE;0
"L1";"4/1/2010";"H012.V017";4;"19:00";"19:30";"Peak";"W";1,28;FALSE;0
"L1";"5/1/2010";"H012.V017";35;"0:40";"6:20";"Off Peak";"W";11,2;FALSE;0
"L1";"5/1/2010";"H012.V017";9;"18:30";"19:50";"Peak";"W";2,88;TRUE;0
